datetime,out_humidity,out_temperature,in_dht11_humidity,in_dht11_temperature,in_dht22_humidity,in_dht22_temperature
2015-04-03T00:00:00,61.9,13.4,31.0,17.0,63.2,18.8
2015-04-03T00:01:00,61.8,13.4,31.0,17.0,62.8,18.8
2015-04-03T00:02:00,61.7,13.4,31.0,17.0,63.0,18.8
2015-04-03T00:03:00,61.6,13.4,31.0,17.0,63.2,18.8
2015-04-03T00:04:00,61.6,13.4,31.0,17.0,63.7,18.8
2015-04-03T00:05:00,61.7,13.4,31.0,17.0,63.7,18.8
2015-04-03T00:06:00,61.7,13.4,31.0,17.0,63.4,18.8
2015-04-03T00:07:00,61.7,13.4,31.0,17.0,62.9,18.8
2015-04-03T00:08:00,61.7,13.4,31.0,17.0,63.1,18.9
2015-04-03T00:09:00,61.8,13.4,31.0,17.0,63.5,18.9
2015-04-03T00:10:00,61.8,13.4,31.0,17.0,63.3,18.9
2015-04-03T00:11:00,61.7,13.4,31.0,17.0,63.6,18.9
2015-04-03T00:12:00,61.3,13.4,31.0,17.0,63.1,18.8
2015-04-03T00:13:00,61.1,13.5,31.0,17.0,63.2,18.9
2015-04-03T00:14:00,61.0,13.5,31.0,17.0,63.0,18.8
2015-04-03T00:15:00,61.0,13.5,31.0,17.0,63.1,18.9
2015-04-03T00:16:00,60.9,13.5,31.0,17.0,63.2,18.9
2015-04-03T00:17:00,60.8,13.5,31.0,17.0,63.2,18.9
2015-04-03T00:18:00,60.6,13.5,31.0,17.0,63.1,18.9
2015-04-03T00:19:00,60.6,13.5,31.0,17.0,63.8,18.9
2015-04-03T00:20:00,60.2,13.5,31.0,17.0,63.4,18.9
2015-04-03T00:21:00,60.0,13.5,31.0,17.0,63.3,18.9
2015-04-03T00:22:00,59.9,13.5,31.0,17.0,63.3,18.9
2015-04-03T00:23:00,59.8,13.5,31.0,17.0,62.9,18.9
2015-04-03T00:24:00,59.7,13.5,31.0,17.0,63.3,18.9
2015-04-03T00:25:00,59.4,13.5,31.0,17.0,63.1,18.9
2015-04-03T00:26:00,59.1,13.5,31.0,17.0,63.3,18.9
2015-04-03T00:27:00,58.8,13.5,31.0,17.0,63.1,18.9
2015-04-03T00:28:00,58.7,13.5,31.0,17.0,63.2,18.9
2015-04-03T00:29:00,58.3,13.6,31.0,17.0,62.6,18.9
2015-04-03T00:30:00,57.9,13.6,31.0,17.0,63.1,18.9
2015-04-03T00:31:00,57.6,13.6,31.0,17.0,63.3,18.9
2015-04-03T00:32:00,57.4,13.6,31.0,17.0,62.9,18.9
2015-04-03T00:33:00,57.7,13.6,31.0,17.0,63.4,18.9
2015-04-03T00:34:00,57.8,13.6,31.0,17.0,64.1,18.9
2015-04-03T00:35:00,57.9,13.6,31.0,17.0,64.1,19.0
2015-04-03T00:36:00,58.0,13.6,31.0,17.0,63.6,19.0
2015-04-03T00:37:00,58.0,13.7,31.0,17.0,63.2,19.0
2015-04-03T00:38:00,57.9,13.7,31.0,17.0,63.2,18.9
2015-04-03T00:39:00,57.8,13.7,31.0,17.0,63.2,19.0
2015-04-03T00:40:00,58.1,13.7,31.0,17.0,63.5,18.9
2015-04-03T00:41:00,58.1,13.7,31.0,17.0,63.5,19.0
2015-04-03T00:42:00,58.0,13.7,31.0,17.0,63.5,18.9
2015-04-03T00:43:00,58.0,13.7,31.0,17.0,63.5,18.9
2015-04-03T00:44:00,58.0,13.7,31.0,17.0,63.8,19.0
2015-04-03T00:45:00,57.8,13.6,31.0,17.0,63.5,18.9
2015-04-03T00:46:00,57.7,13.6,31.0,17.0,63.6,18.9
2015-04-03T00:47:00,57.7,13.7,31.0,17.0,63.1,19.0
2015-04-03T00:48:00,57.5,13.6,31.0,17.0,63.5,19.0
2015-04-03T00:49:00,57.4,13.6,31.0,17.0,63.9,18.9
2015-04-03T00:50:00,57.4,13.6,31.0,17.0,63.5,19.0
2015-04-03T00:51:00,57.2,13.6,31.0,17.0,63.2,19.0
2015-04-03T00:52:00,56.8,13.7,31.0,17.0,63.1,19.0
2015-04-03T00:53:00,56.4,13.6,31.0,17.0,63.2,19.0
2015-04-03T00:54:00,56.3,13.6,31.0,17.0,63.0,19.0
2015-04-03T00:55:00,56.1,13.6,31.0,17.0,63.4,19.0
2015-04-03T00:56:00,55.7,13.6,31.0,17.0,63.2,19.0
2015-04-03T00:57:00,55.6,13.6,31.0,17.0,63.2,18.9
2015-04-03T00:58:00,55.8,13.6,31.0,17.0,63.1,19.0
2015-04-03T00:59:00,56.2,13.6,31.0,17.0,63.4,18.9
2015-04-03T01:00:00,56.4,13.6,31.0,17.0,63.2,19.0
2015-04-03T01:01:00,56.5,13.6,31.0,17.0,62.8,18.9
2015-04-03T01:02:00,56.6,13.6,31.0,17.0,63.4,19.0
2015-04-03T01:03:00,56.8,13.6,31.0,17.0,64.2,19.0
2015-04-03T01:04:00,56.7,13.6,31.0,17.0,64.0,18.9
2015-04-03T01:05:00,56.7,13.6,31.0,17.0,63.4,18.9
2015-04-03T01:06:00,56.7,13.6,31.0,17.0,63.3,18.9
2015-04-03T01:07:00,56.7,13.6,31.0,17.0,63.1,19.0
2015-04-03T01:08:00,56.5,13.6,31.0,17.0,63.6,18.9
2015-04-03T01:09:00,56.5,13.6,31.0,17.0,63.4,18.9
2015-04-03T01:10:00,56.4,13.6,31.0,17.0,63.4,18.9
2015-04-03T01:11:00,56.6,13.6,31.0,17.0,63.3,19.0
2015-04-03T01:12:00,56.6,13.6,31.0,17.0,63.8,18.9
2015-04-03T01:13:00,56.6,13.6,31.0,17.0,63.7,19.0
2015-04-03T01:14:00,56.6,13.6,31.0,17.0,63.8,18.9
2015-04-03T01:15:00,56.6,13.6,31.0,17.0,63.6,19.0
2015-04-03T01:16:00,56.5,13.6,31.0,17.0,63.4,18.9
2015-04-03T01:17:00,56.4,13.7,31.0,17.0,64.0,18.9
2015-04-03T01:18:00,56.3,13.6,31.0,17.0,64.7,18.9
2015-04-03T01:19:00,56.1,13.7,31.0,17.0,64.2,19.0
2015-04-03T01:20:00,56.0,13.7,31.0,17.0,63.4,19.0
2015-04-03T01:21:00,55.8,13.7,31.0,17.0,63.9,19.0
2015-04-03T01:22:00,55.3,13.6,31.0,17.0,63.2,19.0
2015-04-03T01:23:00,55.3,13.6,31.0,17.0,63.2,19.0
2015-04-03T01:24:00,55.2,13.6,31.0,17.0,63.2,18.9
2015-04-03T01:25:00,55.4,13.6,31.0,17.0,63.5,18.9
2015-04-03T01:26:00,55.1,13.6,31.0,17.0,63.4,19.0
2015-04-03T01:27:00,54.6,13.6,31.0,17.0,62.9,19.0
2015-04-03T01:28:00,54.4,13.6,31.0,17.0,63.4,18.9
2015-04-03T01:29:00,54.4,13.6,31.0,17.0,63.1,18.9
2015-04-03T01:30:00,54.3,13.6,31.0,17.0,63.5,18.9
2015-04-03T01:31:00,54.3,13.6,31.0,17.0,63.2,18.9
2015-04-03T01:32:00,54.5,13.6,31.0,17.0,64.4,18.9
2015-04-03T01:33:00,54.7,13.5,31.0,17.0,64.1,18.9
2015-04-03T01:34:00,54.8,13.6,31.0,17.0,63.8,18.9
2015-04-03T01:35:00,55.0,13.5,31.0,17.0,63.4,18.9
2015-04-03T01:36:00,55.3,13.5,31.0,17.0,63.4,19.0
2015-04-03T01:37:00,55.4,13.5,31.0,17.0,63.6,19.0
2015-04-03T01:38:00,55.6,13.5,31.0,17.0,63.2,18.9
2015-04-03T01:39:00,55.7,13.5,31.0,17.0,63.7,18.9
2015-04-03T01:40:00,55.9,13.5,31.0,17.0,63.2,18.9
2015-04-03T01:41:00,56.6,13.5,31.0,17.0,63.4,18.9
2015-04-03T01:42:00,56.8,13.5,31.0,17.0,63.5,18.9
2015-04-03T01:43:00,56.8,13.5,31.0,17.0,63.3,18.9
2015-04-03T01:44:00,57.0,13.5,31.0,17.0,63.2,18.9
2015-04-03T01:45:00,57.2,13.5,31.0,17.0,63.4,18.9
2015-04-03T01:46:00,57.4,13.5,31.0,17.0,64.0,18.9
2015-04-03T01:47:00,57.6,13.5,31.0,17.0,63.9,18.9
2015-04-03T01:48:00,57.5,13.4,31.0,17.0,63.8,18.9
2015-04-03T01:49:00,57.7,13.5,31.0,17.0,63.4,18.9
2015-04-03T01:50:00,57.6,13.4,31.0,17.0,63.4,18.9
2015-04-03T01:51:00,57.6,13.5,31.0,17.0,63.5,18.9
2015-04-03T01:52:00,57.4,13.4,31.0,17.0,63.5,18.9
2015-04-03T01:53:00,57.4,13.4,31.0,17.0,63.4,18.9
2015-04-03T01:54:00,57.3,13.4,31.0,17.0,63.3,18.9
2015-04-03T01:55:00,57.3,13.4,31.0,17.0,63.6,18.9
2015-04-03T01:56:00,57.3,13.4,31.0,17.0,63.4,18.8
2015-04-03T01:57:00,57.2,13.4,31.0,17.0,63.4,18.9
2015-04-03T01:58:00,57.1,13.4,31.0,17.0,63.2,18.9
2015-04-03T01:59:00,56.8,13.4,31.0,17.0,63.1,18.8
2015-04-03T02:00:00,56.6,13.4,31.0,17.0,63.7,18.8
2015-04-03T02:01:00,56.6,13.4,31.0,17.0,63.8,18.8
2015-04-03T02:02:00,56.9,13.4,31.0,17.0,63.6,18.8
2015-04-03T02:03:00,57.0,13.4,31.0,17.0,63.6,18.9
2015-04-03T02:04:00,57.1,13.4,31.0,17.0,63.6,18.9
2015-04-03T02:05:00,57.1,13.4,31.0,17.0,63.1,18.8
2015-04-03T02:06:00,57.0,13.4,31.0,17.0,63.5,18.8
2015-04-03T02:07:00,56.9,13.4,31.0,17.0,63.2,18.8
2015-04-03T02:08:00,57.2,13.4,31.0,17.0,63.4,18.8
2015-04-03T02:09:00,57.5,13.4,31.0,17.0,63.1,18.8
2015-04-03T02:10:00,57.8,13.4,31.0,17.0,63.4,18.8
2015-04-03T02:11:00,58.2,13.3,31.0,17.0,63.7,18.8
2015-04-03T02:12:00,58.4,13.3,31.0,17.0,63.3,18.9
2015-04-03T02:13:00,58.9,13.3,31.0,17.0,63.6,18.8
2015-04-03T02:14:00,59.0,13.3,31.0,17.0,63.9,18.8
2015-04-03T02:15:00,59.3,13.3,31.0,17.0,64.1,18.8
2015-04-03T02:16:00,59.8,13.3,31.0,17.0,63.9,18.9
2015-04-03T02:17:00,59.8,13.3,31.0,17.0,64.2,18.9
2015-04-03T02:18:00,59.6,13.3,31.0,17.0,63.7,18.9
2015-04-03T02:19:00,59.0,13.3,31.0,17.0,63.5,18.8
2015-04-03T02:20:00,59.0,13.3,31.0,17.0,63.9,18.9
2015-04-03T02:21:00,59.1,13.3,31.0,17.0,63.9,18.9
2015-04-03T02:22:00,59.1,13.4,31.0,17.0,63.8,18.9
2015-04-03T02:23:00,59.3,13.4,31.0,17.0,63.7,18.8
2015-04-03T02:24:00,59.2,13.4,31.0,17.0,63.9,18.8
2015-04-03T02:25:00,59.1,13.3,31.0,17.0,64.0,18.8
2015-04-03T02:26:00,59.4,13.3,31.0,17.0,64.0,18.8
2015-04-03T02:27:00,59.4,13.3,31.0,17.0,64.2,18.9
2015-04-03T02:28:00,59.4,13.3,31.0,17.0,63.8,18.8
2015-04-03T02:29:00,59.5,13.3,31.0,17.0,64.4,18.9
2015-04-03T02:30:00,59.5,13.3,31.0,17.0,64.2,18.8
2015-04-03T02:31:00,59.3,13.2,31.0,17.0,63.3,18.9
2015-04-03T02:32:00,59.3,13.2,31.0,17.0,63.9,18.9
2015-04-03T02:33:00,59.4,13.3,31.0,17.0,63.7,18.8
2015-04-03T02:34:00,59.3,13.3,31.0,17.0,63.7,18.9
2015-04-03T02:35:00,59.2,13.3,31.0,17.0,63.7,18.9
2015-04-03T02:36:00,59.0,13.3,31.0,17.0,64.1,18.9
2015-04-03T02:37:00,58.9,13.3,31.0,17.0,64.0,18.9
2015-04-03T02:38:00,58.7,13.2,31.0,17.0,63.8,18.9
2015-04-03T02:39:00,58.7,13.3,31.0,17.0,64.1,18.8
2015-04-03T02:40:00,58.7,13.3,31.0,17.0,63.9,18.8
2015-04-03T02:41:00,58.5,13.2,31.0,17.0,64.0,18.9
2015-04-03T02:42:00,58.5,13.3,31.0,17.0,63.9,18.8
2015-04-03T02:43:00,58.7,13.3,31.0,17.0,64.1,18.9
2015-04-03T02:44:00,58.6,13.3,31.0,17.0,63.2,18.9
2015-04-03T02:45:00,58.3,13.3,31.0,17.0,63.3,18.8
2015-04-03T02:46:00,58.3,13.3,31.0,17.0,63.5,18.9
2015-04-03T02:47:00,58.4,13.3,31.0,17.0,63.5,18.8
2015-04-03T02:48:00,58.5,13.4,31.0,17.0,64.1,18.9
2015-04-03T02:49:00,58.4,13.4,31.0,17.0,63.8,18.8
2015-04-03T02:50:00,58.5,13.3,31.0,17.0,63.4,18.9
2015-04-03T02:51:00,58.5,13.4,31.0,17.0,63.5,18.9
2015-04-03T02:52:00,58.5,13.3,31.0,17.0,63.7,18.8
2015-04-03T02:53:00,58.5,13.3,31.0,17.0,63.5,18.8
2015-04-03T02:54:00,58.5,13.3,31.0,17.0,63.7,18.8
2015-04-03T02:55:00,58.5,13.3,31.0,17.0,63.5,18.8
2015-04-03T02:56:00,58.6,13.3,31.0,17.0,63.7,18.8
2015-04-03T02:57:00,58.7,13.3,31.0,17.0,64.4,18.8
2015-04-03T02:58:00,58.6,13.3,31.0,17.0,64.4,18.8
2015-04-03T02:59:00,58.7,13.3,31.0,17.0,63.6,18.9
2015-04-03T03:00:00,58.7,13.3,31.0,17.0,63.9,18.9
2015-04-03T03:01:00,58.6,13.3,31.0,17.0,63.9,18.9
2015-04-03T03:02:00,58.7,13.3,31.0,17.0,63.7,18.9
2015-04-03T03:03:00,58.9,13.3,31.0,17.0,63.7,18.9
2015-04-03T03:04:00,59.0,13.3,31.0,17.0,63.9,18.9
2015-04-03T03:05:00,59.1,13.3,31.0,17.0,64.0,18.9
2015-04-03T03:06:00,59.1,13.3,31.0,17.0,64.0,18.9
2015-04-03T03:07:00,59.1,13.3,31.0,17.0,63.9,18.8
