datetime,out_humidity,out_temperature,in_dht11_humidity,in_dht11_temperature,in_dht22_humidity,in_dht22_temperature
2015-04-11T00:00:00,77.3,13.0,33.0,18.0,65.5,22.0
2015-04-11T00:01:00,77.4,13.1,33.0,18.0,65.7,22.0
2015-04-11T00:02:00,77.2,13.1,33.0,18.0,65.8,22.0
2015-04-11T00:03:00,77.3,13.1,33.0,18.0,65.9,22.0
2015-04-11T00:04:00,77.3,13.0,33.0,18.0,65.9,22.0
2015-04-11T00:05:00,77.4,13.0,33.0,18.0,65.9,22.0
2015-04-11T00:06:00,77.2,13.1,33.0,18.0,65.6,21.9
2015-04-11T00:07:00,77.1,13.0,33.0,18.0,65.7,21.9
2015-04-11T00:08:00,77.1,13.1,33.0,18.0,65.7,21.9
2015-04-11T00:09:00,77.0,13.1,33.0,18.0,66.0,21.9
2015-04-11T00:10:00,77.0,13.1,33.0,18.0,65.6,21.9
2015-04-11T00:11:00,77.0,13.1,33.0,18.0,65.2,21.9
2015-04-11T00:12:00,76.8,13.1,33.0,18.0,65.3,21.9
2015-04-11T00:13:00,76.8,13.1,33.0,18.0,65.4,21.9
2015-04-11T00:14:00,76.9,13.1,33.0,18.0,65.2,21.9
2015-04-11T00:15:00,76.8,13.1,33.0,18.0,65.4,21.9
2015-04-11T00:16:00,77.0,13.1,33.0,18.0,65.4,21.9
2015-04-11T00:17:00,77.1,13.1,33.0,18.0,65.6,21.9
2015-04-11T00:18:00,77.2,13.1,33.0,18.0,65.7,21.9
2015-04-11T00:19:00,77.2,13.1,33.0,18.0,65.3,21.9
2015-04-11T00:20:00,77.4,13.1,33.0,18.0,65.3,21.9
2015-04-11T00:21:00,77.5,13.1,33.0,18.0,65.3,21.9
2015-04-11T00:22:00,77.4,13.0,33.0,18.0,65.1,21.8
2015-04-11T00:23:00,77.6,13.1,33.0,18.0,65.2,21.8
2015-04-11T00:24:00,77.6,13.1,33.0,18.0,65.0,21.8
2015-04-11T00:25:00,77.6,13.0,33.0,18.0,65.0,21.8
2015-04-11T00:26:00,77.7,13.0,33.0,18.0,65.0,21.8
2015-04-11T00:27:00,77.6,13.0,33.0,18.0,65.1,21.8
2015-04-11T00:28:00,78.2,13.0,33.0,18.0,65.0,21.8
2015-04-11T00:29:00,78.5,12.9,33.0,18.0,65.0,21.8
2015-04-11T00:30:00,78.2,12.9,33.0,18.0,65.3,21.8
2015-04-11T00:31:00,78.5,12.9,33.0,18.0,65.4,21.8
2015-04-11T00:32:00,78.3,13.0,33.0,18.0,65.0,21.8
2015-04-11T00:33:00,78.2,13.0,33.0,18.0,65.1,21.8
2015-04-11T00:34:00,78.4,13.0,33.0,18.0,65.2,21.8
2015-04-11T00:35:00,78.5,13.0,33.0,18.0,65.2,21.8
2015-04-11T00:36:00,78.6,13.0,33.0,18.0,65.1,21.8
2015-04-11T00:37:00,79.0,13.0,33.0,18.0,65.0,21.8
2015-04-11T00:38:00,79.1,12.9,33.0,18.0,65.0,21.8
2015-04-11T00:39:00,79.3,12.9,33.0,18.0,64.9,21.8
2015-04-11T00:40:00,79.3,12.9,33.0,18.0,64.9,21.8
2015-04-11T00:41:00,79.4,12.9,33.0,18.0,65.3,21.8
2015-04-11T00:42:00,79.5,12.8,33.0,18.0,65.1,21.8
2015-04-11T00:43:00,79.8,12.9,33.0,18.0,65.0,21.8
2015-04-11T00:44:00,79.7,12.9,33.0,18.0,65.0,21.7
2015-04-11T00:45:00,79.5,12.9,33.0,18.0,64.9,21.7
2015-04-11T00:46:00,80.0,12.8,33.0,18.0,65.2,21.7
2015-04-11T00:47:00,80.1,12.8,33.0,18.0,64.9,21.7
2015-04-11T00:48:00,80.0,12.9,33.0,18.0,65.0,21.8
2015-04-11T00:49:00,80.1,12.8,33.0,18.0,64.9,21.8
2015-04-11T00:50:00,80.2,12.8,33.0,18.0,64.9,21.8
2015-04-11T00:51:00,80.5,12.7,33.0,18.0,64.7,21.8
2015-04-11T00:52:00,81.5,12.6,33.0,18.0,64.8,21.8
2015-04-11T00:53:00,81.1,12.7,33.0,18.0,64.7,21.7
2015-04-11T00:54:00,80.8,12.7,33.0,18.0,65.0,21.7
2015-04-11T00:55:00,80.9,12.7,33.0,18.0,65.0,21.7
2015-04-11T00:56:00,80.9,12.7,33.0,18.0,65.0,21.7
2015-04-11T00:57:00,80.7,12.8,33.0,18.0,65.4,21.7
2015-04-11T00:58:00,80.4,12.8,33.0,18.0,65.1,21.7
2015-04-11T00:59:00,80.2,12.9,33.0,18.0,65.1,21.7
2015-04-11T01:00:00,80.1,12.9,33.0,18.0,64.9,21.7
2015-04-11T01:01:00,79.7,13.0,33.0,18.0,64.8,21.7
2015-04-11T01:02:00,79.8,13.0,33.0,18.0,64.9,21.7
2015-04-11T01:03:00,80.3,12.9,33.0,18.0,64.9,21.8
2015-04-11T01:04:00,80.5,12.8,33.0,18.0,64.9,21.7
2015-04-11T01:05:00,80.5,12.9,33.0,18.0,65.0,21.8
