datetime,out_humidity,out_temperature,in_dht11_humidity,in_dht11_temperature,in_dht22_humidity,in_dht22_temperature
2015-06-15T00:00:00,61.9,14.8,32.0,18.0,61.8,20.1
2015-06-15T00:01:00,61.5,14.9,32.0,18.0,61.8,20.1
2015-06-15T00:02:00,61.7,14.9,32.0,18.0,62.0,20.1
2015-06-15T00:03:00,61.6,14.8,32.0,18.0,61.8,20.1
2015-06-15T00:04:00,62.7,14.6,32.0,18.0,62.0,20.1
2015-06-15T00:05:00,62.6,14.6,32.0,18.0,62.0,20.1
2015-06-15T00:06:00,62.5,14.7,32.0,18.0,61.8,20.1
2015-06-15T00:07:00,62.7,14.6,32.0,18.0,61.8,20.1
2015-06-15T00:08:00,62.9,14.5,32.0,18.0,61.9,20.1
2015-06-15T00:09:00,63.0,14.5,32.0,18.0,61.9,20.1
2015-06-15T00:10:00,62.7,14.5,32.0,18.0,61.8,20.0
2015-06-15T00:11:00,62.9,14.5,32.0,18.0,61.8,20.1
2015-06-15T00:12:00,62.7,14.6,32.0,18.0,61.8,20.0
2015-06-15T00:13:00,62.6,14.6,32.0,18.0,61.9,20.0
2015-06-15T00:14:00,62.6,14.6,32.0,18.0,61.9,20.0
2015-06-15T00:15:00,62.6,14.6,32.0,18.0,62.0,20.0
2015-06-15T00:16:00,63.0,14.5,32.0,18.0,61.9,20.1
2015-06-15T00:17:00,62.8,14.6,32.0,18.0,61.7,20.0
2015-06-15T00:18:00,62.7,14.6,32.0,18.0,61.9,20.1
2015-06-15T00:19:00,62.5,14.6,32.0,18.0,61.9,20.1
2015-06-15T00:20:00,62.7,14.6,32.0,18.0,61.8,20.0
2015-06-15T00:21:00,62.6,14.7,32.0,18.0,61.8,20.0
2015-06-15T00:22:00,62.5,14.6,32.0,18.0,61.9,20.0
2015-06-15T00:23:00,62.8,14.6,32.0,18.0,62.0,20.0
2015-06-15T00:24:00,62.5,14.6,32.0,18.0,62.0,20.0
2015-06-15T00:25:00,62.5,14.6,32.0,18.0,62.2,20.0
2015-06-15T00:26:00,62.7,14.6,32.0,18.0,62.0,20.0
2015-06-15T00:27:00,62.7,14.7,32.0,18.0,61.8,20.0
2015-06-15T00:28:00,62.4,14.6,32.0,18.0,61.6,20.0
2015-06-15T00:29:00,62.7,14.6,32.0,18.0,61.8,20.1
2015-06-15T00:30:00,63.6,14.4,32.0,18.0,61.8,20.0
2015-06-15T00:31:00,63.8,14.4,32.0,18.0,61.9,20.0
2015-06-15T00:32:00,63.5,14.5,32.0,18.0,61.8,20.0
2015-06-15T00:33:00,63.4,14.5,32.0,18.0,62.0,20.0
2015-06-15T00:34:00,63.2,14.6,32.0,18.0,62.0,19.9
2015-06-15T00:35:00,62.8,14.6,32.0,18.0,62.2,19.9
2015-06-15T00:36:00,63.2,14.5,32.0,18.0,62.0,20.0
2015-06-15T00:37:00,63.2,14.5,32.0,18.0,62.1,19.9
2015-06-15T00:38:00,63.4,14.5,32.0,18.0,62.0,20.0
2015-06-15T00:39:00,63.8,14.4,32.0,18.0,61.8,20.0
2015-06-15T00:40:00,63.9,14.4,32.0,18.0,61.9,20.0
2015-06-15T00:41:00,63.7,14.5,32.0,18.0,61.8,20.0
2015-06-15T00:42:00,64.1,14.4,32.0,18.0,61.8,20.0
2015-06-15T00:43:00,64.6,14.3,32.0,18.0,62.0,20.0
2015-06-15T00:44:00,64.9,14.3,32.0,18.0,62.0,20.0
2015-06-15T00:45:00,64.4,14.3,32.0,18.0,62.1,19.9
2015-06-15T00:46:00,64.2,14.4,32.0,18.0,62.2,19.9
2015-06-15T00:47:00,63.8,14.4,32.0,18.0,62.1,19.9
2015-06-15T00:48:00,63.8,14.5,32.0,18.0,62.1,19.9
2015-06-15T00:49:00,63.8,14.5,32.0,18.0,62.0,20.0
2015-06-15T00:50:00,63.8,14.4,32.0,18.0,61.9,20.0
2015-06-15T00:51:00,64.1,14.3,32.0,18.0,62.0,20.0
2015-06-15T00:52:00,64.6,14.2,32.0,18.0,62.1,19.9
2015-06-15T00:53:00,64.8,14.3,32.0,18.0,62.1,19.9
2015-06-15T00:54:00,64.2,14.4,32.0,18.0,62.3,19.9
2015-06-15T00:55:00,63.9,14.4,32.0,18.0,62.1,19.9
2015-06-15T00:56:00,64.1,14.4,32.0,18.0,62.0,19.9
2015-06-15T00:57:00,64.4,14.4,32.0,18.0,62.1,20.0
2015-06-15T00:58:00,64.1,14.4,32.0,18.0,62.0,20.0
2015-06-15T00:59:00,64.0,14.5,32.0,18.0,62.2,20.1
2015-06-15T01:00:00,63.7,14.4,31.0,19.0,61.9,20.1
2015-06-15T01:01:00,63.9,14.4,32.0,18.0,61.4,20.2
2015-06-15T01:02:00,64.1,14.4,32.0,18.0,61.6,20.1
2015-06-15T01:03:00,64.0,14.4,32.0,18.0,61.6,20.1
2015-06-15T01:04:00,64.1,14.4,32.0,18.0,61.6,20.1
2015-06-15T01:05:00,63.8,14.4,32.0,18.0,61.6,20.1
2015-06-15T01:06:00,64.1,14.5,32.0,18.0,61.7,20.1
2015-06-15T01:07:00,63.8,14.4,32.0,18.0,61.8,20.1
2015-06-15T01:08:00,63.6,14.4,32.0,18.0,61.8,20.1
2015-06-15T01:09:00,64.2,14.3,32.0,18.0,61.8,20.1
2015-06-15T01:10:00,64.7,14.2,32.0,18.0,61.8,20.0
2015-06-15T01:11:00,64.6,14.3,32.0,18.0,61.7,20.0
2015-06-15T01:12:00,64.6,14.3,32.0,18.0,62.0,20.1
2015-06-15T01:13:00,64.4,14.4,32.0,18.0,61.8,20.0
2015-06-15T01:14:00,64.2,14.4,32.0,18.0,61.8,20.0
2015-06-15T01:15:00,64.0,14.4,32.0,18.0,61.8,20.0
2015-06-15T01:16:00,64.1,14.4,32.0,18.0,61.8,20.0
2015-06-15T01:17:00,64.2,14.5,32.0,18.0,61.9,20.0
2015-06-15T01:18:00,64.0,14.5,32.0,18.0,61.8,20.0
2015-06-15T01:19:00,64.1,14.4,32.0,18.0,62.0,19.9
2015-06-15T01:20:00,64.4,14.4,32.0,18.0,62.1,19.9
2015-06-15T01:21:00,64.6,14.3,32.0,18.0,62.1,19.9
2015-06-15T01:22:00,64.7,14.3,32.0,18.0,62.2,19.9
2015-06-15T01:23:00,65.0,14.3,32.0,18.0,62.2,20.0
2015-06-15T01:24:00,65.2,14.2,32.0,18.0,62.0,20.0
2015-06-15T01:25:00,65.1,14.3,32.0,18.0,61.8,19.9
2015-06-15T01:26:00,64.8,14.3,32.0,18.0,62.0,20.0
